date,amount_weekly
2018-12-26,2463.0046304834805
2018-12-27,2462.58700338458
2018-12-28,2457.5326609523454
2018-12-29,2452.484399120844
2018-12-30,2447.4422152746897
2018-12-31,2444.714619186778
2019-01-01,2448.7340181684626
2019-01-02,2452.755720263701
2019-01-03,2456.779722857107
2019-01-04,2456.176096666631
2019-01-05,2455.5683235164474
2019-01-06,2454.9564060219423
2019-01-07,2456.660139186777
2019-01-08,2460.6843494505138
2019-01-09,2464.710850622674
2019-01-10,2468.739640087876
2019-01-11,2468.118277384579
2019-01-12,2467.492779926704
2019-01-13,2466.863150329634
2019-01-14,2468.5604208790846
2019-01-15,2474.8029980952015
2019-01-16,2474.4054330365934
2019-01-17,2474.0036434285353
2019-01-18,2468.9436382234067
2019-01-19,2463.8897040292677
2019-01-20,2458.8418382307327
2019-01-21,2456.1193199120517
2019-01-22,2455.71443655674
2019-01-23,2455.305338241722
2019-01-24,2454.892027582381
2019-01-25,2449.8564930695607
2019-01-26,2444.8270173626015
2019-01-27,2439.8035978461176
2019-01-28,2437.0875421428204
2019-01-29,2436.67115604392
2019-01-30,2436.2505671904396
2019-01-31,2435.8257781977663
2019-02-01,2435.230320472491
2019-02-02,2434.6307375823812
2019-02-03,2434.0270321428206
2019-02-04,2435.7192249230407
2019-02-05,2439.712109670293
2019-02-06,2443.7072635310988
2019-02-07,2447.704683890073
2019-02-08,2447.0915659340294
2019-02-09,2446.474335018278
2019-02-10,2445.852993758205
2019-02-11,2447.53872392304
2019-02-12,2451.5363009523444
2019-02-13,2455.5361348900724
2019-02-14,2459.5382231208423
2019-02-15,2461.1088372380573
2019-02-16,2456.0738386812814
2019-02-17,2451.0448867252376
2019-02-18,2448.3339087911713
2019-02-19,2447.9332250549082
2019-02-20,2447.5283481538086
2019-02-21,2447.11928070326
2019-02-22,2442.102627340622
2019-02-23,2437.0920109889744
2019-02-24,2432.08742903293
2019-02-25,2429.3829137142484
2019-02-26,2428.9708035164467
2019-02-27,2428.5545123589372
2019-02-28,2428.1340428571057
2019-03-01,2420.946866421208
2019-03-02,2420.3478083516115
2019-03-03,2419.7446521428196
2019-03-04,2421.4239196922704
2019-03-05,2425.390368131831
2019-03-06,2429.3590612746875
2019-03-07,2433.329996505457
2019-03-08,2458.26099777172
2019-03-09,2432.100843736226
2019-03-10,2431.4801371428193
2019-03-11,2433.152942076885
2019-03-12,2437.1239973626
2019-03-13,2441.097285146482
2019-03-14,2445.0728028131493
2019-03-15,2446.6311385713902
2019-03-16,2441.622722783845
2019-03-17,2436.6203291867755
2019-03-18,2433.922276483478
2019-03-19,2433.520921465164
2019-03-20,2433.115397692269
2019-03-21,2432.705707780182
2019-03-22,2427.715576161134
2019-03-23,2422.7314571428196
2019-03-24,2417.753348109852
2019-03-25,2415.06175802194
2019-03-26,2414.6490619779843
2019-03-27,2414.2322093845773
2019-03-28,2413.811202857105
2019-03-29,2408.8453374944675
2019-03-30,2403.8854725274346
2019-03-31,2398.931605340622
2019-04-01,2400.5993325054565
2019-04-02,2404.5345652746873
2019-04-03,2408.472020952343
2019-04-04,2412.411696923039
2019-04-05,2411.8072997142476
2019-04-06,2411.1988357508776
2019-04-07,2410.586307648313
2019-04-08,2412.247572197764
2019-04-09,2416.1873355310972
2019-04-10,2420.129309567727
2019-04-11,2424.073491692269
2019-04-12,2423.451638688606
2019-04-13,2422.8257311354923
2019-04-14,2422.1957716483125
2019-04-15,2426.0205382856752
2019-04-16,2425.6232730402544
2019-04-17,2425.2218608351263
2019-04-18,2424.8163042856754
2019-04-19,2419.8451636629648
2019-04-20,2414.8800138461147
2019-04-21,2409.9208522197414
2019-04-22,2407.2408025164445
2019-04-23,2406.832272527434
2019-04-24,2406.4196077838433
2019-04-25,2406.0028109010605
2019-04-26,2401.055860252708
2019-04-27,2396.1148882050898
2019-04-28,2391.179892142818
2019-04-29,2388.5063050549065
2019-04-30,2388.086553040254
2019-05-01,2389.8293415237704
2019-05-02,2393.739410637324
2019-05-03,2393.140570952342
2019-05-04,2392.5376871794483
2019-05-05,2391.9307619340266
2019-05-06,2393.5800244834777
2019-05-07,2397.490146959668
2019-05-08,2401.402457472488
2019-05-09,2405.316953406554
2019-05-10,2404.700737260034
2019-05-11,2404.0804892307297
2019-05-12,2403.4562119340267
2019-05-13,2405.0990118680925
2019-05-14,2409.0135428571034
2019-05-15,2415.0904379047215
2019-05-16,2414.6873684175425
2019-05-17,2409.7377900658944
2019-05-18,2404.7941798534403
2019-05-19,2399.856535164796
2019-05-20,2397.188487461499
2019-05-21,2396.782478534759
2019-05-22,2396.3723575201066
2019-05-23,2395.9581270329277
2019-05-24,2391.032659322305
2019-05-25,2386.1131475457482
2019-05-26,2381.199589087872
2019-05-27,2378.5380039999604
2019-05-28,2378.1208523809128
2019-05-29,2377.6996008790816
2019-05-30,2377.2742521098507
2019-05-31,2372.372852322305
2019-06-01,2371.7779909889714
2019-06-02,2371.1791099779825
2019-06-03,2372.816832142817
2019-06-04,2376.695796923037
2019-06-05,2380.5769279450146
2019-06-06,2384.460222593367
